EvidenceID|Type|Tier|Citation|Locator|GroundedObjects|IndependentOf|Stance|Quality
EV01|Journal Paper|Primary|Sharpe, W.F. (1964). Capital Asset Prices: A Theory of Market Equilibrium under Conditions of Risk. Journal of Finance.|Locator Pending|T01;F01|—|Supports|High
EV02|Journal Paper|Primary|Lintner, J. (1965). The Valuation of Risk Assets and the Selection of Risky Investments in Stock Portfolios and Capital Budgets. Review of Economics and Statistics.|Locator Pending|T01;F01|Yes, of EV01 (co-discoverer, independent derivation)|Supports|High
EV03|Book|Secondary|Bodie, Z., Kane, A., Marcus, A. (2018). Investments, 11th ed. McGraw-Hill.|Locator Pending|T01;ME01;C01|Yes, of Sharpe/Markowitz/Knight|Background/Supports|High
EV04|Journal Paper|Primary|Fama, E.F. (1970). Efficient Capital Markets: A Review of Theory and Empirical Work. Journal of Finance.|Locator Pending|T02|—|Supports|High
EV05|Journal Paper|Secondary|Malkiel, B.G. (2003). The Efficient Market Hypothesis and Its Critics. Journal of Economic Perspectives.|Locator Pending|T02|Yes, of Fama|Contests/Limits|High
EV06|Journal Paper|Primary|Fama, E.F., French, K.R. (1993). Common Risk Factors in the Returns on Stocks and Bonds. Journal of Financial Economics.|Locator Pending|M01|—|Supports|High
EV07|Dataset|Primary|CRSP US Stock Database, Center for Research in Security Prices, University of Chicago.|Locator Pending|M01|—|Background|High
EV08|Journal Paper|Primary|Jegadeesh, N., Titman, S. (1993). Returns to Buying Winners and Selling Losers: Implications for Stock Market Efficiency. Journal of Finance.|Locator Pending|FA03|—|Supports|High
EV09|Journal Paper|Secondary|Asness, C., Moskowitz, T., Pedersen, L. (2013). Value and Momentum Everywhere. Journal of Finance.|Locator Pending|FA03|Yes, of Jegadeesh/Titman|Supports (independent extension)|High
EV10|Journal Paper|Primary|Sharpe, W.F. (1966). Mutual Fund Performance. Journal of Business.|Locator Pending|ME01|—|Supports|High
EV11|Journal Paper|Primary|Sharpe, W.F. (1994). The Sharpe Ratio. Journal of Portfolio Management.|Locator Pending|ME01|No, same author as EV10|Supports (self-refinement)|High
EV12|Book|Primary|Grinold, R.C., Kahn, R.N. (1999). Active Portfolio Management, 2nd ed. McGraw-Hill.|Locator Pending|ME07|—|Supports|High
EV13|Book|Primary|Williams, J.B. (1938). The Theory of Investment Value. Harvard University Press.|Locator Pending|PR02|—|Supports|High
EV14|Book|Secondary|Damodaran, A. (2012). Investment Valuation, 3rd ed. Wiley.|Locator Pending|PR02;C08|Yes, of Williams/Graham-Dodd|Supports|High
EV15|Official Standard|Primary|IFRS Foundation. IFRS Accounting Standards, 2026 Required edition (current: IAS 1 Presentation of Financial Statements). Future state: IASB, IFRS 18 Presentation and Disclosure in Financial Statements (issued 9 Apr 2024, effective 1 Jan 2027, replaces IAS 1 in full).|Edition dated 2026; IFRS 18 issue/effective dates [WEB-VERIFIED]|S01|—|Background — current/future state explicitly distinguished, not to be read as IFRS 18 being presently applicable|High
