,F_INST_01_foreign,F_INST_02_trust,F_INST_03_dealer_self,F_INST_04_dealer_hedge,F_INST_05_aggregate,F_INST_06_value_proxy,F_INST_07_flow_to_volume,F_INST_08_streak,F_INST_09_change_rate,F_INT_01_flow_x_momentum,F_INT_02_flow_x_size,F_INT_03_flow_x_liquidity
F_INST_01_foreign,1.0,-0.46454034874747935,0.11678624620541522,0.1638279808970206,0.803487070957942,0.39974510868110297,0.5000474327303215,0.23320369058518928,0.057196190461984965,0.4148944207432403,0.3531862289361603,0.3902181960532895
F_INST_02_trust,-0.46454034874747935,1.0,-0.045223455544957956,0.011288306743461459,0.14427043823349484,0.050256434163455294,0.07776409386909847,0.08404574028252416,0.00567428682918343,0.12771904217130625,0.1053481903029044,0.11596441825036775
F_INST_03_dealer_self,0.11678624620541522,-0.045223455544957956,1.0,0.3611132175617281,0.19061655145218678,0.10863884801895834,0.09660806340765007,0.0435771078521245,0.011841615289087616,0.09739325779665742,0.0696467570105174,0.08804014692264796
F_INST_04_dealer_hedge,0.1638279808970206,0.011288306743461459,0.3611132175617281,1.0,0.2824837328896003,0.08155761753384584,0.13847717359202408,0.04770630652018048,0.0208927228503941,0.16262479574570207,0.12136531696691787,0.12525746322575226
F_INST_05_aggregate,0.803487070957942,0.14427043823349484,0.19061655145218678,0.2824837328896003,1.0,0.4801167754080997,0.6103269683739329,0.314406949457092,0.06813479738482044,0.5521716121200368,0.4657142577457802,0.5143607566784256
F_INST_06_value_proxy,0.39974510868110297,0.050256434163455294,0.10863884801895834,0.08155761753384584,0.4801167754080997,1.0,0.36763165234418765,0.18938697813917219,0.0375362483400346,0.3268773589897841,0.35033324578264946,0.3832217679039582
F_INST_07_flow_to_volume,0.5000474327303215,0.07776409386909847,0.09660806340765007,0.13847717359202408,0.6103269683739329,0.36763165234418765,1.0,0.5637970596650157,0.07886929325135776,0.6244959751368173,0.5587723395031368,0.4984492387868621
F_INST_08_streak,0.23320369058518928,0.08404574028252416,0.0435771078521245,0.04770630652018048,0.314406949457092,0.18938697813917219,0.5637970596650157,1.0,0.02702873007936503,0.4962770750991161,0.38992081359477854,0.3362107567454808
F_INST_09_change_rate,0.057196190461984965,0.00567428682918343,0.011841615289087616,0.0208927228503941,0.06813479738482044,0.0375362483400346,0.07886929325135776,0.02702873007936503,1.0,0.03945807737261649,0.03799338653873962,0.03424398549281947
F_INT_01_flow_x_momentum,0.4148944207432403,0.12771904217130625,0.09739325779665742,0.16262479574570207,0.5521716121200368,0.3268773589897841,0.6244959751368173,0.4962770750991161,0.03945807737261649,1.0,0.5730964051363057,0.6558602770262464
F_INT_02_flow_x_size,0.3531862289361603,0.1053481903029044,0.0696467570105174,0.12136531696691787,0.4657142577457802,0.35033324578264946,0.5587723395031368,0.38992081359477854,0.03799338653873962,0.5730964051363057,1.0,0.6972689916346307
F_INT_03_flow_x_liquidity,0.3902181960532895,0.11596441825036775,0.08804014692264796,0.12525746322575226,0.5143607566784256,0.3832217679039582,0.4984492387868621,0.3362107567454808,0.03424398549281947,0.6558602770262464,0.6972689916346307,1.0
