,F_INST_01_foreign,F_INST_02_trust,F_INST_03_dealer_self,F_INST_04_dealer_hedge,F_INST_05_aggregate,F_INST_06_value_proxy,F_INST_07_flow_to_volume,F_INST_08_streak,F_INST_09_change_rate,F_INT_01_flow_x_momentum,F_INT_02_flow_x_size,F_INT_03_flow_x_liquidity
F_INST_01_foreign,1.0,-0.17749439123363767,0.10665014847048941,0.15475679199572193,0.8293181407158767,0.7425403791049286,0.7767441908155304,0.6141097072972463,0.6516760797497042,0.5874057336151368,0.5187235165154761,0.5369497882833462
F_INST_02_trust,-0.17749439123363767,1.0,-0.0022557787208540756,0.0848915543214287,0.1698546497284916,0.18298190183325344,0.17651748159512418,0.1807444847891734,0.12190325277963794,0.24120886877082384,0.17240331765567732,0.1509967828464853
F_INST_03_dealer_self,0.10665014847048941,-0.0022557787208540756,1.0,0.30517380491952106,0.16340579381460069,0.14907784177905356,0.14350678527178642,0.10230911612912778,0.1422327411139113,0.09969935483190413,0.0824689749066417,0.0790403567429714
F_INST_04_dealer_hedge,0.15475679199572193,0.0848915543214287,0.30517380491952106,1.0,0.23286965604076573,0.21517255360520635,0.22226354724985434,0.12012161302459534,0.22796774994669072,0.16735381209634817,0.17466932573765975,0.14038028207237585
F_INST_05_aggregate,0.8293181407158767,0.1698546497284916,0.16340579381460069,0.23286965604076573,1.0,0.8926805336938753,0.9058596012322846,0.7750005278850584,0.7711395903297676,0.743748883470343,0.6497207015911505,0.6506448610355459
F_INST_06_value_proxy,0.7425403791049286,0.18298190183325344,0.14907784177905356,0.21517255360520635,0.8926805336938753,1.0,0.8791516093580963,0.7735634752244814,0.7841890964375631,0.6849339545158588,0.5746255531888358,0.5858432329362133
F_INST_07_flow_to_volume,0.7767441908155304,0.17651748159512418,0.14350678527178642,0.22226354724985434,0.9058596012322846,0.8791516093580963,1.0,0.7943078665266883,0.7880496900942205,0.6927352404592575,0.5854631388879349,0.5709107225783173
F_INST_08_streak,0.6141097072972463,0.1807444847891734,0.10230911612912778,0.12012161302459534,0.7750005278850584,0.7735634752244814,0.7943078665266883,1.0,0.6029675486364882,0.6510931128481755,0.5037625411180946,0.4908281967705657
F_INST_09_change_rate,0.6516760797497042,0.12190325277963794,0.1422327411139113,0.22796774994669072,0.7711395903297676,0.7841890964375631,0.7880496900942205,0.6029675486364882,1.0,0.46601706763872575,0.4527783519233268,0.45755455968944475
F_INT_01_flow_x_momentum,0.5874057336151368,0.24120886877082384,0.09969935483190413,0.16735381209634817,0.743748883470343,0.6849339545158588,0.6927352404592575,0.6510931128481755,0.46601706763872575,1.0,0.6201304864018787,0.6462345919516368
F_INT_02_flow_x_size,0.5187235165154761,0.17240331765567732,0.0824689749066417,0.17466932573765975,0.6497207015911505,0.5746255531888358,0.5854631388879349,0.5037625411180946,0.4527783519233268,0.6201304864018787,1.0,0.7068574227588824
F_INT_03_flow_x_liquidity,0.5369497882833462,0.1509967828464853,0.0790403567429714,0.14038028207237585,0.6506448610355459,0.5858432329362133,0.5709107225783173,0.4908281967705657,0.45755455968944475,0.6462345919516368,0.7068574227588824,1.0
