stock_id,date,F_INST_01_foreign,F_INST_02_trust,F_INST_03_dealer_self,F_INST_04_dealer_hedge,F_INST_05_aggregate,F_INST_06_value_proxy,F_INST_07_flow_to_volume,F_INST_08_streak,F_INST_09_change_rate,F_INT_01_flow_x_momentum,F_INT_02_flow_x_size,F_INT_03_flow_x_liquidity,F_INST_01_foreign_rank,F_INST_02_trust_rank,F_INST_03_dealer_self_rank,F_INST_04_dealer_hedge_rank,F_INST_05_aggregate_rank,F_INST_06_value_proxy_rank,F_INST_09_change_rate_rank,version,build_date
1101,2024-07-01,-1216858,38372,119005,54000,-1005481,-33733887.55,-0.052054293835604205,-1,,,0.084,,0.32,0.58,0.64,0.6,0.3,0.44,,v0.1,2026-07-11T07:49:09Z
1101,2024-07-02,5554927,16786,186000,-104220,5653493,190522714.10000002,0.27903213658579534,1,,,0.24080000000000001,,0.92,0.44,0.88,0.24,0.86,0.78,,v0.1,2026-07-11T07:49:09Z
1101,2024-07-03,2714394,58573,201000,140840,3114807,105903438.0,0.21329349325515967,2,,,0.216,,0.76,0.52,0.62,0.6,0.72,0.6,,v0.1,2026-07-11T07:49:09Z
1101,2024-07-04,7304999,34733,80000,-122000,7297732,249217547.79999998,0.42413891204780657,3,,,0.22400000000000003,,0.82,0.5,0.58,0.36,0.8,0.54,,v0.1,2026-07-11T07:49:09Z
1101,2024-07-05,7711166,73786,20000,-28171,7776781,267910105.45000002,0.4727193384976706,4,,,0.2944,,0.96,0.54,0.52,0.34,0.92,0.74,,v0.1,2026-07-11T07:49:09Z
1101,2024-07-08,4669149,51519,-19000,-103730,4597938,159088654.8,0.24847548668184777,5,,,0.2304,,0.8,0.48,0.44,0.16,0.72,0.52,,v0.1,2026-07-11T07:49:09Z
1101,2024-07-09,1647301,146099,-21000,-139593,1632807,55515438.0,0.08477076040157121,6,,,0.26239999999999997,,0.82,0.54,0.58,0.36,0.82,0.62,,v0.1,2026-07-11T07:49:09Z
1101,2024-07-10,-1738990,83000,8000,27000,-1620990,-54870511.5,-0.1372321617619059,-1,,,0.096,,0.34,0.5,0.58,0.56,0.3,0.48,,v0.1,2026-07-11T07:49:09Z
1101,2024-07-11,-5631009,144000,-11999,-26163,-5525171,-188132072.54999998,-0.2596088846546672,-2,,,0.044800000000000006,,0.14,0.65,0.54,0.34,0.14,0.24,,v0.1,2026-07-11T07:49:09Z
1101,2024-07-12,8057990,72000,330000,282300,8742290,299423432.5,0.3927661541512437,1,1.8509754989253595,,0.3008,0.1504,0.94,0.48,0.92,0.76,0.94,0.84,0.84,v0.1,2026-07-11T07:49:09Z
