stock_id,n_break_window_dates,categories_in_break,dealer_recurs_in_break_window
1101,61,"['Dealer_Hedging', 'Dealer_self', 'Foreign_Dealer_Self', 'Foreign_Investor', 'Investment_Trust']",False
1102,62,"['Dealer_Hedging', 'Dealer_self', 'Foreign_Dealer_Self', 'Foreign_Investor', 'Investment_Trust']",False
1103,62,"['Dealer_Hedging', 'Dealer_self', 'Foreign_Dealer_Self', 'Foreign_Investor', 'Investment_Trust']",False
1104,62,"['Dealer_Hedging', 'Dealer_self', 'Foreign_Dealer_Self', 'Foreign_Investor', 'Investment_Trust']",False
1108,62,"['Dealer_Hedging', 'Dealer_self', 'Foreign_Dealer_Self', 'Foreign_Investor', 'Investment_Trust']",False
1109,62,"['Dealer_Hedging', 'Dealer_self', 'Foreign_Dealer_Self', 'Foreign_Investor', 'Investment_Trust']",False
1110,62,"['Dealer_Hedging', 'Dealer_self', 'Foreign_Dealer_Self', 'Foreign_Investor', 'Investment_Trust']",False
1201,62,"['Dealer_Hedging', 'Dealer_self', 'Foreign_Dealer_Self', 'Foreign_Investor', 'Investment_Trust']",False
1203,60,"['Dealer_Hedging', 'Dealer_self', 'Foreign_Dealer_Self', 'Foreign_Investor', 'Investment_Trust']",False
1210,62,"['Dealer_Hedging', 'Dealer_self', 'Foreign_Dealer_Self', 'Foreign_Investor', 'Investment_Trust']",False
1213,5,"['Dealer_Hedging', 'Dealer_self', 'Foreign_Dealer_Self', 'Foreign_Investor', 'Investment_Trust']",False
1215,62,"['Dealer_Hedging', 'Dealer_self', 'Foreign_Dealer_Self', 'Foreign_Investor', 'Investment_Trust']",False
1216,62,"['Dealer_Hedging', 'Dealer_self', 'Foreign_Dealer_Self', 'Foreign_Investor', 'Investment_Trust']",False
1217,62,"['Dealer_Hedging', 'Dealer_self', 'Foreign_Dealer_Self', 'Foreign_Investor', 'Investment_Trust']",False
1218,62,"['Dealer_Hedging', 'Dealer_self', 'Foreign_Dealer_Self', 'Foreign_Investor', 'Investment_Trust']",False
1219,62,"['Dealer_Hedging', 'Dealer_self', 'Foreign_Dealer_Self', 'Foreign_Investor', 'Investment_Trust']",False
1220,62,"['Dealer_Hedging', 'Dealer_self', 'Foreign_Dealer_Self', 'Foreign_Investor', 'Investment_Trust']",False
1225,62,"['Dealer_Hedging', 'Dealer_self', 'Foreign_Dealer_Self', 'Foreign_Investor', 'Investment_Trust']",False
1227,62,"['Dealer_Hedging', 'Dealer_self', 'Foreign_Dealer_Self', 'Foreign_Investor', 'Investment_Trust']",False
1229,62,"['Dealer_Hedging', 'Dealer_self', 'Foreign_Dealer_Self', 'Foreign_Investor', 'Investment_Trust']",False
1231,62,"['Dealer_Hedging', 'Dealer_self', 'Foreign_Dealer_Self', 'Foreign_Investor', 'Investment_Trust']",False
