stock_id,min,max,count
1101,2012-05-02,2014-11-28,642
1102,2012-05-02,2014-11-28,642
1103,2012-05-02,2014-11-28,635
1104,2012-05-02,2014-11-28,637
1108,2012-05-02,2014-11-28,599
1109,2012-05-02,2014-11-27,503
1110,2012-05-02,2014-11-28,607
1201,2012-05-02,2014-11-28,642
1203,2012-05-02,2014-11-28,615
1210,2012-05-02,2014-11-28,641
1213,2012-05-02,2014-11-28,442
1215,2012-05-02,2014-11-28,641
1216,2012-05-02,2014-11-28,642
1217,2012-05-02,2014-11-28,639
1218,2012-05-02,2014-11-28,633
1219,2012-05-02,2014-11-28,544
1220,2012-05-02,2014-11-28,438
1225,2012-05-02,2014-11-28,568
1227,2012-05-02,2014-11-28,642
1229,2012-05-02,2014-11-28,640
1231,2012-05-02,2014-11-28,641
1232,2012-05-02,2014-11-28,622
1233,2012-05-02,2014-11-27,497
1234,2012-05-02,2014-11-28,632
1235,2012-05-07,2014-11-28,382
1236,2012-05-02,2014-11-28,403
1256,2012-09-05,2014-11-27,380
1301,2012-05-02,2014-11-28,642
1303,2012-05-02,2014-11-28,642
1304,2012-05-02,2014-11-28,642
1305,2012-05-02,2014-11-28,642
1307,2012-05-02,2014-11-28,618
1308,2012-05-02,2014-11-28,641
1309,2012-05-02,2014-11-28,633
1310,2012-05-02,2014-11-28,629
1312,2012-05-02,2014-11-28,642
1313,2012-05-02,2014-11-28,642
1314,2012-05-02,2014-11-28,642
1315,2012-05-02,2014-11-28,571
1316,2012-05-02,2014-11-28,560
1319,2012-05-02,2014-11-28,642
1321,2012-05-02,2014-11-28,634
1323,2012-05-02,2014-11-28,628
1324,2012-05-02,2014-11-28,440
1325,2012-05-02,2014-11-28,526
1326,2012-05-02,2014-11-28,642
1337,2012-05-02,2014-11-28,642
1338,2012-01-30,2014-11-28,460
1339,2012-05-09,2014-11-28,458
1340,2013-12-19,2014-11-28,217
1342,2019-12-17,2020-10-26,15
1402,2012-05-02,2014-11-28,642
1409,2012-05-02,2014-11-28,642
1410,2012-05-02,2014-11-28,568
1413,2012-05-02,2014-11-28,473
1414,2012-05-02,2014-11-27,628
1416,2012-05-02,2014-11-28,628
1417,2012-05-02,2014-11-28,631
1418,2012-05-02,2014-11-28,453
1419,2012-05-02,2014-11-28,637
1423,2012-05-02,2014-11-28,524
1432,2012-05-02,2014-11-28,581
1434,2012-05-02,2014-11-28,642
1435,2012-05-02,2014-11-28,535
1436,2012-05-02,2014-11-27,445
1437,2012-05-02,2014-11-28,624
1438,2013-11-19,2014-11-27,202
1439,2012-05-02,2014-11-28,482
1440,2012-05-02,2014-11-28,642
1441,2012-05-02,2014-11-28,604
1442,2012-05-02,2014-11-28,639
1443,2012-05-02,2014-11-28,533
1444,2012-05-02,2014-11-28,641
1445,2012-05-02,2014-11-27,528
1446,2012-05-02,2014-11-28,599
1447,2012-05-02,2014-11-28,642
1449,2013-07-03,2014-06-27,13
1451,2012-05-02,2014-11-28,625
1452,2012-05-02,2014-11-28,557
1453,2012-05-02,2014-11-28,424
1454,2012-05-02,2014-11-28,457
1455,2012-05-02,2014-11-28,641
1456,2012-09-19,2014-02-06,10
1457,2012-05-02,2014-11-28,635
1459,2012-05-02,2014-11-28,571
