stock_id,dealer_dates,split_dates_total,overlap_dates
1101,642,2829,0
1102,642,2832,0
1103,635,2823,0
1104,637,2827,0
1108,599,2660,0
1109,503,2485,0
1110,607,2452,0
1201,642,2830,0
1203,615,2542,0
1210,641,2833,0
1213,442,704,0
1215,641,2832,0
1216,642,2832,0
1217,639,2825,0
1218,633,2829,0
1219,544,2478,0
1220,438,2380,0
1225,568,2498,0
1227,642,2830,0
1229,640,2829,0
1231,641,2807,0
1232,622,2744,0
1233,497,2025,0
1234,632,2737,0
1235,382,2091,0
1236,403,1854,0
1256,380,2522,0
1301,642,2833,0
1303,642,2833,0
1304,642,2829,0
1305,642,2833,0
1307,618,2807,0
1308,641,2827,0
1309,633,2820,0
1310,629,2833,0
1312,642,2833,0
1313,642,2833,0
1314,642,2831,0
1315,571,2258,0
1316,560,2645,0
1319,642,2833,0
1321,634,2781,0
1323,628,2761,0
1324,440,1983,0
1325,526,2210,0
1326,642,2833,0
1337,642,2824,0
1338,460,2829,0
1339,458,2733,0
1340,217,2827,0
1342,15,1337,0
1402,642,2833,0
1409,642,2829,0
1410,568,2064,0
1413,473,2315,0
1414,628,2629,0
1416,628,2685,0
1417,631,2748,0
1418,453,1152,0
1419,637,2575,0
1423,524,2423,0
1432,581,2564,0
1434,642,2831,0
1435,535,1558,0
1436,445,2025,0
1437,624,2731,0
1438,202,1960,0
1439,482,2572,0
1440,642,2829,0
1441,604,2201,0
1442,639,2786,0
1443,533,2009,0
1444,641,2829,0
1445,528,2412,0
1446,599,2582,0
1447,642,2828,0
1449,13,2226,0
1451,625,2814,0
1452,557,2801,0
1453,424,2272,0
1454,457,2429,0
1455,641,2830,0
1456,10,1851,0
1457,635,2815,0
1459,571,2654,0
