stock_id,fi_rows,fi_explicit_zero_rows,pct_explicit_zero
1101,3471,2,0.06
1102,3474,5,0.14
1103,3458,9,0.26
1104,3464,4,0.12
1108,3259,46,1.41
1109,2988,69,2.31
1110,3059,51,1.67
1201,3472,2,0.06
1203,3157,81,2.57
1210,3474,5,0.14
1213,1146,94,8.2
1215,3473,8,0.23
1216,3474,2,0.06
1217,3464,6,0.17
1218,3462,14,0.4
1219,3022,68,2.25
1220,2818,69,2.45
1225,3066,81,2.64
1227,3472,2,0.06
1229,3469,8,0.23
1231,3448,6,0.17
1232,3366,30,0.89
1233,2522,113,4.48
1234,3369,21,0.62
1235,2473,139,5.62
1236,2257,73,3.23
1256,2902,182,6.27
1301,3475,2,0.06
1303,3474,0,0.0
1304,3471,4,0.12
1305,3475,8,0.23
1307,3425,16,0.47
1308,3468,6,0.17
1309,3453,7,0.2
1310,3462,7,0.2
1312,3475,7,0.2
1313,3475,8,0.23
1314,3473,3,0.09
1315,2829,77,2.72
1316,3205,40,1.25
1319,3475,10,0.29
1321,3415,8,0.23
1323,3389,18,0.53
1324,2423,112,4.62
1325,2736,45,1.64
1326,3475,3,0.09
1337,3466,8,0.23
1338,3289,20,0.61
1339,3191,47,1.47
1340,3044,21,0.69
1341,1059,70,6.61
1342,1352,24,1.78
1402,3475,4,0.12
1409,3471,8,0.23
1410,2632,151,5.74
1413,2788,121,4.34
1414,3257,58,1.78
1416,3313,14,0.42
1417,3379,11,0.33
1418,1605,186,11.59
1419,3212,54,1.68
1423,2947,91,3.09
1432,3145,50,1.59
1434,3473,3,0.09
1435,2093,94,4.49
1436,2470,94,3.81
1437,3355,12,0.36
1438,2162,98,4.53
1439,3054,80,2.62
1440,3471,6,0.17
1441,2805,74,2.64
1442,3425,15,0.44
1443,2542,135,5.31
1444,3470,6,0.17
1445,2940,126,4.29
1446,3181,33,1.04
1447,3470,6,0.17
1449,2239,38,1.7
1451,3439,11,0.32
1452,3358,16,0.48
1453,2696,106,3.93
1454,2886,129,4.47
1455,3471,5,0.14
1456,1861,107,5.75
1457,3450,14,0.41
