stock_id,market,n_eligible_dates,n_inst_rows_dates,n_missing_dates,missing_rate,longest_missing_streak,n_missing_blocks,n_explicit_zero_days,n_missing_trading_halt,n_missing_source_missing,first_eligible,last_eligible
1101,TWSE,3471,3471,4,0.0012,2,3,0,3,1,2012-05-02,2026-07-09
1102,TWSE,3471,3474,1,0.0003,1,1,0,1,0,2012-05-02,2026-07-09
1103,TWSE,3471,3458,17,0.0049,1,17,0,1,16,2012-05-02,2026-07-09
1104,TWSE,3471,3464,11,0.0032,1,11,0,0,11,2012-05-02,2026-07-09
1108,TWSE,3471,3259,216,0.0622,6,150,0,0,216,2012-05-02,2026-07-09
1109,TWSE,3447,2988,463,0.1343,17,246,0,0,463,2012-05-02,2026-07-09
1110,TWSE,3471,3059,416,0.1199,11,242,0,6,410,2012-05-02,2026-07-09
1201,TWSE,3471,3472,3,0.0009,1,3,0,0,3,2012-05-02,2026-07-09
1203,TWSE,3471,3157,318,0.0916,7,233,0,0,318,2012-05-02,2026-07-09
1210,TWSE,3471,3474,1,0.0003,1,1,0,0,1,2012-05-02,2026-07-09
1213,TWSE,3353,1146,2207,0.6582,167,392,0,39,2168,2012-05-02,2026-07-09
1215,TWSE,3471,3473,2,0.0006,1,2,0,0,2,2012-05-02,2026-07-09
1216,TWSE,3471,3474,1,0.0003,1,1,0,1,0,2012-05-02,2026-07-09
1217,TWSE,3471,3464,11,0.0032,1,11,0,0,11,2012-05-02,2026-07-09
1218,TWSE,3471,3462,13,0.0037,2,11,0,0,13,2012-05-02,2026-07-09
1219,TWSE,3471,3022,453,0.1305,7,268,0,0,453,2012-05-02,2026-07-09
1220,TWSE,3471,2818,654,0.1884,14,343,0,0,654,2012-05-02,2026-07-09
1225,TWSE,3418,3066,356,0.1042,6,244,0,6,350,2012-05-02,2026-07-09
1227,TWSE,3471,3472,3,0.0009,1,3,0,0,3,2012-05-02,2026-07-09
1229,TWSE,3471,3469,6,0.0017,1,6,0,1,5,2012-05-02,2026-07-09
1231,TWSE,3471,3448,27,0.0078,2,25,0,0,27,2012-05-02,2026-07-09
1232,TWSE,3471,3366,106,0.0305,6,81,0,0,106,2012-05-02,2026-07-09
1233,TWSE,3471,2522,953,0.2746,18,528,0,0,953,2012-05-02,2026-07-09
1234,TWSE,3463,3369,98,0.0283,5,71,0,0,98,2012-05-02,2026-07-09
1235,TWSE,3469,2473,1000,0.2883,28,461,0,15,985,2012-05-02,2026-07-09
1236,TWSE,3464,2257,1208,0.3487,22,445,0,0,1208,2012-05-02,2026-07-09
1256,TWSE,3382,2902,481,0.1422,26,215,0,0,481,2012-09-05,2026-07-09
1301,TWSE,3471,3475,0,0.0,0,0,0,0,0,2012-05-02,2026-07-09
1303,TWSE,3471,3475,0,0.0,0,0,0,0,0,2012-05-02,2026-07-09
1304,TWSE,3471,3471,4,0.0012,1,4,0,0,4,2012-05-02,2026-07-09
1305,TWSE,3471,3475,0,0.0,0,0,0,0,0,2012-05-02,2026-07-09
1307,TWSE,3471,3425,50,0.0144,4,39,0,0,50,2012-05-02,2026-07-09
1308,TWSE,3471,3468,6,0.0017,1,6,0,0,6,2012-05-02,2026-07-09
1309,TWSE,3471,3453,22,0.0063,2,21,0,0,22,2012-05-02,2026-07-09
1310,TWSE,3461,3462,3,0.0009,2,2,0,0,3,2012-05-02,2026-07-09
1312,TWSE,3471,3475,0,0.0,0,0,0,0,0,2012-05-02,2026-07-09
1313,TWSE,3471,3475,0,0.0,0,0,0,0,0,2012-05-02,2026-07-09
1314,TWSE,3471,3473,2,0.0006,1,2,0,1,1,2012-05-02,2026-07-09
1315,TWSE,3447,2829,619,0.1796,16,334,0,2,617,2012-05-02,2026-07-09
1316,TWSE,3456,3205,255,0.0738,10,149,0,2,253,2012-05-02,2026-07-09
1319,TWSE,3471,3475,0,0.0,0,0,0,0,0,2012-05-02,2026-07-09
1321,TWSE,3471,3415,60,0.0173,4,47,0,0,60,2012-05-02,2026-07-09
1323,TWSE,3471,3389,86,0.0248,4,69,0,0,86,2012-05-02,2026-07-09
1324,TWSE,3471,2423,1049,0.3022,19,436,0,3,1046,2012-05-02,2026-07-09
1325,TWSE,3461,2736,726,0.2098,18,265,0,1,725,2012-05-02,2026-07-09
1326,TWSE,3471,3475,0,0.0,0,0,0,0,0,2012-05-02,2026-07-09
1337,TWSE,3471,3466,9,0.0026,1,9,0,0,9,2012-05-02,2026-07-09
1338,TWSE,3471,3289,190,0.0547,39,45,0,29,161,2012-05-02,2026-07-09
1339,TWSE,3471,3191,284,0.0818,16,144,0,0,284,2012-05-02,2026-07-09
1340,TWSE,3071,3044,31,0.0101,9,13,0,0,31,2013-12-06,2026-07-09
1341,TWSE,1829,1059,771,0.4215,19,332,0,0,771,2018-12-24,2026-07-09
1342,TWSE,1642,1352,291,0.1772,51,34,0,34,257,2019-10-07,2026-07-09
1402,TWSE,3471,3475,0,0.0,0,0,0,0,0,2012-05-02,2026-07-09
1409,TWSE,3471,3471,4,0.0012,1,4,0,0,4,2012-05-02,2026-07-09
1410,TWSE,3455,2632,824,0.2385,18,416,0,10,814,2012-05-02,2026-07-09
1413,TWSE,3460,2788,676,0.1954,15,378,0,3,673,2012-05-02,2026-07-09
1414,TWSE,3464,3257,211,0.0609,7,149,0,0,211,2012-05-02,2026-07-09
1416,TWSE,3438,3313,129,0.0375,13,88,0,1,128,2012-05-02,2026-07-09
1417,TWSE,3457,3379,82,0.0237,8,55,0,0,82,2012-05-02,2026-07-09
1418,TWSE,3462,1605,1861,0.5376,165,278,0,48,1813,2012-05-02,2026-07-09
1419,TWSE,3471,3212,263,0.0758,12,167,0,12,251,2012-05-02,2026-07-09
1423,TWSE,3457,2947,514,0.1487,18,319,0,0,514,2012-05-02,2026-07-09
1432,TWSE,3464,3145,323,0.0932,13,198,0,1,322,2012-05-02,2026-07-09
1434,TWSE,3471,3473,2,0.0006,1,2,0,0,2,2012-05-02,2026-07-09
1435,TWSE,3191,2093,1099,0.3444,39,461,0,0,1099,2012-05-02,2026-07-09
1436,TWSE,3464,2470,994,0.287,30,407,0,4,990,2012-05-02,2026-07-09
1437,TWSE,3471,3355,120,0.0346,5,86,0,0,120,2012-05-02,2026-07-09
1438,TWSE,3464,2162,1303,0.3762,386,337,0,89,1214,2012-05-02,2026-07-09
1439,TWSE,3471,3054,421,0.1213,14,241,0,4,417,2012-05-02,2026-07-09
1440,TWSE,3471,3471,4,0.0012,1,4,0,0,4,2012-05-02,2026-07-09
1441,TWSE,3458,2805,653,0.1888,13,394,0,1,652,2012-05-02,2026-07-09
1442,TWSE,3471,3425,50,0.0144,3,44,0,0,50,2012-05-02,2026-07-09
1443,TWSE,3471,2542,930,0.2679,20,454,0,6,924,2012-05-02,2026-07-09
1444,TWSE,3471,3470,5,0.0014,1,5,0,0,5,2012-05-02,2026-07-09
1445,TWSE,3471,2940,535,0.1541,20,287,0,0,535,2012-05-02,2026-07-09
1446,TWSE,3471,3181,291,0.0838,8,171,0,0,291,2012-05-02,2026-07-09
1447,TWSE,3471,3470,5,0.0014,1,5,0,0,5,2012-05-02,2026-07-09
1449,TWSE,3449,2239,1211,0.3511,291,234,0,9,1202,2012-05-02,2026-07-09
1451,TWSE,3449,3439,14,0.0041,1,14,0,0,14,2012-05-02,2026-07-09
1452,TWSE,3471,3358,117,0.0337,5,86,0,0,117,2012-05-02,2026-07-09
1453,TWSE,3470,2696,778,0.2242,11,370,0,2,776,2012-05-02,2026-07-09
1454,TWSE,3471,2886,586,0.1688,11,334,0,2,584,2012-05-02,2026-07-09
1455,TWSE,3471,3471,4,0.0012,1,4,0,0,4,2012-05-02,2026-07-09
1456,TWSE,3452,1861,1592,0.4612,280,202,0,133,1459,2012-05-02,2026-07-09
1457,TWSE,3461,3450,15,0.0043,2,14,0,2,13,2012-05-02,2026-07-09
