stock_id,block_start,block_end,n_dates
1213,2022-02-11,2022-10-12,167
1213,2021-05-27,2022-01-18,164
1213,2022-12-07,2023-05-16,99
1213,2020-02-26,2020-07-16,96
1213,2025-09-26,2026-02-05,89
1213,2023-09-04,2023-12-18,73
1213,2026-02-09,2026-05-25,65
1213,2020-08-21,2020-11-18,61
1213,2019-09-24,2019-12-10,53
1213,2021-03-02,2021-05-12,49
1213,2023-06-26,2023-08-30,47
1213,2019-12-20,2020-02-24,39
1213,2022-10-20,2022-12-05,33
1213,2017-04-21,2017-06-08,33
1213,2018-03-14,2018-04-23,27
1213,2020-07-21,2020-08-19,22
1213,2021-01-19,2021-02-25,21
1213,2023-05-25,2023-06-20,19
1213,2017-11-28,2017-12-22,19
1213,2020-12-17,2021-01-13,19
1213,2017-10-05,2017-11-01,18
1213,2017-08-31,2017-09-22,17
1213,2025-07-21,2025-08-11,16
1213,2016-02-15,2016-03-08,16
1213,2026-06-15,2026-07-03,14
1213,2018-04-30,2018-05-17,13
1213,2024-10-29,2024-11-15,13
1213,2014-04-30,2014-05-19,13
1213,2025-08-26,2025-09-10,12
1213,2024-01-17,2024-02-01,12
1213,2017-02-16,2017-03-03,11
1213,2024-11-29,2024-12-13,11
1213,2018-06-05,2018-06-19,10
1213,2016-08-23,2016-09-05,10
1213,2017-01-05,2017-01-17,9
1213,2014-04-02,2014-04-15,9
1213,2017-03-13,2017-03-23,9
1213,2016-09-07,2016-09-20,9
1213,2025-08-13,2025-08-22,8
1213,2025-04-30,2025-05-12,8
1213,2025-06-11,2025-06-19,7
1213,2013-05-24,2013-06-03,7
1213,2017-07-18,2017-07-25,6
1213,2017-11-03,2017-11-10,6
1213,2015-11-11,2015-11-18,6
1213,2025-07-04,2025-07-11,6
1213,2017-06-13,2017-06-20,6
1213,2015-09-23,2015-10-02,6
1213,2016-03-21,2016-03-28,6
1213,2026-06-04,2026-06-11,6
1213,2016-07-05,2016-07-13,6
1213,2025-09-12,2025-09-19,6
1213,2018-02-21,2018-03-01,6
1213,2017-09-26,2017-10-02,6
1213,2014-04-17,2014-04-24,6
1213,2018-08-22,2018-08-29,6
1213,2017-08-11,2017-08-17,5
1213,2024-06-21,2024-06-27,5
1213,2013-06-10,2013-06-17,5
1213,2020-11-20,2020-11-26,5
1213,2013-09-12,2013-09-17,5
1213,2016-01-20,2016-01-26,5
1213,2021-05-14,2021-05-20,5
1213,2013-04-22,2013-04-26,5
1213,2019-12-12,2019-12-18,5
1213,2026-05-27,2026-06-02,5
1213,2015-02-03,2015-02-09,5
1213,2018-09-27,2018-10-03,5
1213,2018-08-10,2018-08-16,5
1213,2018-01-09,2018-01-15,5
1213,2016-12-27,2017-01-03,5
1213,2015-12-08,2015-12-14,5
1213,2016-01-28,2016-02-02,5
1213,2017-12-29,2018-01-05,5
1213,2018-07-19,2018-07-25,5
1213,2016-06-21,2016-06-27,5
1213,2016-07-22,2016-07-28,5
1213,2016-12-06,2016-12-12,5
1213,2024-04-09,2024-04-12,4
1213,2013-04-11,2013-04-16,4
1213,2024-04-29,2024-05-03,4
1213,2013-09-05,2013-09-10,4
1213,2023-12-20,2023-12-25,4
1213,2018-01-26,2018-01-31,4
1213,2017-04-12,2017-04-17,4
1213,2018-03-06,2018-03-09,4
1213,2014-02-13,2014-02-18,4
1213,2018-05-29,2018-06-01,4
1213,2017-08-21,2017-08-24,4
