batch_id,dataset,stock_id,http_status,error,queued_at
2,TaiwanStockInstitutionalInvestorsBuySell,1762,402,,2026-07-31T09:32:18.793842
3,TaiwanStockPrice,2338,402,,2026-07-31T21:59:16.616149
3,TaiwanStockPrice,2338,402,,2026-07-31T21:59:30.301871
4,TaiwanStockPER,2480,402,,2026-08-01T08:21:12.203021
5,TaiwanStockPrice,3305,402,,2026-08-01T11:56:04.227322
5,TaiwanStockPER,3305,402,,2026-08-01T12:28:05.937646
7,TaiwanStockPER,6120,402,,2026-08-01T13:47:21.626230
8,TaiwanStockPrice,6671,402,,2026-08-01T15:12:16.333531
8,TaiwanStockPrice,6671,402,,2026-08-01T16:17:16.825251
8,TaiwanStockPrice,6671,-1,unknown,2026-08-01T17:22:21.388903
8,TaiwanStockPER,6671,-1,unknown,2026-08-01T17:22:26.302649
8,TaiwanStockInstitutionalInvestorsBuySell,6672,-1,unknown,2026-08-01T17:22:31.209372
8,TaiwanStockPrice,6672,-1,unknown,2026-08-01T17:22:36.122071
8,TaiwanStockPER,6672,-1,unknown,2026-08-01T17:22:41.032306
8,TaiwanStockInstitutionalInvestorsBuySell,6674,-1,unknown,2026-08-01T17:22:45.944363
8,TaiwanStockPrice,6674,-1,unknown,2026-08-01T17:22:50.858783
8,TaiwanStockPER,6674,-1,unknown,2026-08-01T17:22:55.785876
8,TaiwanStockInstitutionalInvestorsBuySell,6689,-1,unknown,2026-08-01T17:23:01.143225
8,TaiwanStockPrice,6689,-1,unknown,2026-08-01T17:23:06.051406
8,TaiwanStockPER,6689,-1,unknown,2026-08-01T17:23:10.967181
8,TaiwanStockInstitutionalInvestorsBuySell,6691,-1,unknown,2026-08-01T17:23:15.909755
8,TaiwanStockPrice,6691,-1,unknown,2026-08-01T17:23:20.821280
8,TaiwanStockPER,6691,-1,unknown,2026-08-01T17:23:25.730603
8,TaiwanStockInstitutionalInvestorsBuySell,6695,-1,unknown,2026-08-01T17:23:30.637911
8,TaiwanStockPrice,6695,-1,unknown,2026-08-01T17:23:35.552769
8,TaiwanStockPER,6695,-1,unknown,2026-08-01T17:23:40.458596
8,TaiwanStockInstitutionalInvestorsBuySell,6698,-1,unknown,2026-08-01T17:23:45.366442
8,TaiwanStockPrice,6698,-1,unknown,2026-08-01T17:23:50.279954
8,TaiwanStockPER,6698,-1,unknown,2026-08-01T17:23:55.187163
8,TaiwanStockInstitutionalInvestorsBuySell,6706,-1,unknown,2026-08-01T17:24:00.095216
8,TaiwanStockPrice,6706,-1,unknown,2026-08-01T17:24:05.010929
8,TaiwanStockPER,6706,-1,unknown,2026-08-01T17:24:09.917952
8,TaiwanStockInstitutionalInvestorsBuySell,6715,-1,unknown,2026-08-01T17:24:14.825923
8,TaiwanStockPrice,6715,-1,unknown,2026-08-01T17:24:19.742453
8,TaiwanStockPER,6715,-1,unknown,2026-08-01T17:24:24.652159
8,TaiwanStockInstitutionalInvestorsBuySell,6719,-1,unknown,2026-08-01T17:24:29.560434
8,TaiwanStockPrice,6719,-1,unknown,2026-08-01T17:24:34.468811
8,TaiwanStockPER,6719,-1,unknown,2026-08-01T17:24:39.383995
8,TaiwanStockInstitutionalInvestorsBuySell,6722,-1,unknown,2026-08-01T17:24:44.296651
8,TaiwanStockPrice,6722,-1,unknown,2026-08-01T17:24:49.204201
8,TaiwanStockPER,6722,-1,unknown,2026-08-01T17:24:54.122733
8,TaiwanStockInstitutionalInvestorsBuySell,6742,-1,unknown,2026-08-01T17:24:59.036992
8,TaiwanStockPrice,6742,-1,unknown,2026-08-01T17:25:03.955289
8,TaiwanStockPER,6742,-1,unknown,2026-08-01T17:25:08.873753
8,TaiwanStockInstitutionalInvestorsBuySell,6743,-1,unknown,2026-08-01T17:25:13.788841
8,TaiwanStockPrice,6743,-1,unknown,2026-08-01T17:25:18.703237
8,TaiwanStockPER,6743,-1,unknown,2026-08-01T17:25:23.623570
8,TaiwanStockInstitutionalInvestorsBuySell,6753,-1,unknown,2026-08-01T17:25:28.535480
8,TaiwanStockPrice,6753,-1,unknown,2026-08-01T17:25:33.442533
8,TaiwanStockPER,6753,-1,unknown,2026-08-01T17:25:38.353736
8,TaiwanStockInstitutionalInvestorsBuySell,6754,-1,unknown,2026-08-01T17:25:43.265083
8,TaiwanStockPrice,6754,-1,unknown,2026-08-01T17:25:48.173821
8,TaiwanStockPER,6754,-1,unknown,2026-08-01T17:25:53.085509
8,TaiwanStockInstitutionalInvestorsBuySell,6756,-1,unknown,2026-08-01T17:25:57.992070
8,TaiwanStockPrice,6756,-1,unknown,2026-08-01T17:26:02.900224
8,TaiwanStockPER,6756,-1,unknown,2026-08-01T17:26:07.812188
8,TaiwanStockInstitutionalInvestorsBuySell,6757,-1,unknown,2026-08-01T17:26:12.720558
8,TaiwanStockPrice,6757,-1,unknown,2026-08-01T17:26:17.626825
8,TaiwanStockPER,6757,-1,unknown,2026-08-01T17:26:22.546717
8,TaiwanStockInstitutionalInvestorsBuySell,6768,-1,unknown,2026-08-01T17:26:27.457059
8,TaiwanStockPrice,6768,-1,unknown,2026-08-01T17:26:32.365249
8,TaiwanStockPER,6768,-1,unknown,2026-08-01T17:26:37.327789
8,TaiwanStockInstitutionalInvestorsBuySell,6770,-1,unknown,2026-08-01T17:26:42.241776
8,TaiwanStockPrice,6770,-1,unknown,2026-08-01T17:26:47.156937
8,TaiwanStockPER,6770,-1,unknown,2026-08-01T17:26:52.069661
8,TaiwanStockInstitutionalInvestorsBuySell,6771,-1,unknown,2026-08-01T17:26:56.992003
8,TaiwanStockPrice,6771,-1,unknown,2026-08-01T17:27:01.903838
8,TaiwanStockPER,6771,-1,unknown,2026-08-01T17:27:06.816689
8,TaiwanStockInstitutionalInvestorsBuySell,6776,-1,unknown,2026-08-01T17:27:11.736762
8,TaiwanStockPrice,6776,-1,unknown,2026-08-01T17:27:16.648256
8,TaiwanStockPER,6776,-1,unknown,2026-08-01T17:27:21.559285
8,TaiwanStockInstitutionalInvestorsBuySell,6781,-1,unknown,2026-08-01T17:27:26.475538
8,TaiwanStockPrice,6781,-1,unknown,2026-08-01T17:27:31.384338
8,TaiwanStockPER,6781,-1,unknown,2026-08-01T17:27:36.293964
8,TaiwanStockInstitutionalInvestorsBuySell,6782,-1,unknown,2026-08-01T17:27:41.208205
8,TaiwanStockPrice,6782,-1,unknown,2026-08-01T17:27:46.121542
8,TaiwanStockPER,6782,-1,unknown,2026-08-01T17:27:51.033854
8,TaiwanStockInstitutionalInvestorsBuySell,6789,-1,unknown,2026-08-01T17:27:55.952745
8,TaiwanStockPrice,6789,-1,unknown,2026-08-01T17:28:00.860325
8,TaiwanStockPER,6789,-1,unknown,2026-08-01T17:28:05.770329
8,TaiwanStockInstitutionalInvestorsBuySell,6790,-1,unknown,2026-08-01T17:28:10.683910
8,TaiwanStockPrice,6790,-1,unknown,2026-08-01T17:28:15.592729
8,TaiwanStockPER,6790,-1,unknown,2026-08-01T17:28:20.507893
8,TaiwanStockInstitutionalInvestorsBuySell,6792,-1,unknown,2026-08-01T17:28:25.423827
8,TaiwanStockPrice,6792,-1,unknown,2026-08-01T17:28:30.342075
8,TaiwanStockPER,6792,-1,unknown,2026-08-01T17:28:35.250320
8,TaiwanStockInstitutionalInvestorsBuySell,6794,-1,unknown,2026-08-01T17:28:40.159358
8,TaiwanStockPrice,6794,-1,unknown,2026-08-01T17:28:45.077525
8,TaiwanStockPER,6794,-1,unknown,2026-08-01T17:28:49.989875
8,TaiwanStockInstitutionalInvestorsBuySell,6796,-1,unknown,2026-08-01T17:28:54.904074
8,TaiwanStockPrice,6796,-1,unknown,2026-08-01T17:28:59.820682
8,TaiwanStockPER,6796,-1,unknown,2026-08-01T17:29:04.729045
8,TaiwanStockInstitutionalInvestorsBuySell,6799,-1,unknown,2026-08-01T17:29:09.635983
8,TaiwanStockPrice,6799,-1,unknown,2026-08-01T17:29:14.548618
8,TaiwanStockPER,6799,-1,unknown,2026-08-01T17:29:19.456108
8,TaiwanStockInstitutionalInvestorsBuySell,6805,-1,unknown,2026-08-01T17:29:24.364000
8,TaiwanStockPrice,6805,-1,unknown,2026-08-01T17:29:29.272044
8,TaiwanStockPER,6805,-1,unknown,2026-08-01T17:29:34.178185
8,TaiwanStockInstitutionalInvestorsBuySell,6807,-1,unknown,2026-08-01T17:29:39.088168
8,TaiwanStockPrice,6807,-1,unknown,2026-08-01T17:29:44.009417
8,TaiwanStockPER,6807,-1,unknown,2026-08-01T17:29:48.925466
8,TaiwanStockInstitutionalInvestorsBuySell,6830,-1,unknown,2026-08-01T17:29:53.837446
8,TaiwanStockPrice,6830,-1,unknown,2026-08-01T17:29:58.754145
8,TaiwanStockPER,6830,-1,unknown,2026-08-01T17:30:03.664047
8,TaiwanStockInstitutionalInvestorsBuySell,6831,-1,unknown,2026-08-01T17:30:08.575648
8,TaiwanStockPrice,6831,-1,unknown,2026-08-01T17:30:13.485551
8,TaiwanStockPER,6831,-1,unknown,2026-08-01T17:30:18.396486
8,TaiwanStockInstitutionalInvestorsBuySell,6834,-1,unknown,2026-08-01T17:30:23.308502
8,TaiwanStockPrice,6834,-1,unknown,2026-08-01T17:30:28.216026
8,TaiwanStockPER,6834,-1,unknown,2026-08-01T17:30:33.130040
8,TaiwanStockInstitutionalInvestorsBuySell,6835,-1,unknown,2026-08-01T17:30:38.045386
8,TaiwanStockPrice,6835,-1,unknown,2026-08-01T17:30:42.957788
8,TaiwanStockPER,6835,-1,unknown,2026-08-01T17:30:47.874619
8,TaiwanStockInstitutionalInvestorsBuySell,6838,-1,unknown,2026-08-01T17:30:52.785352
8,TaiwanStockPrice,6838,-1,unknown,2026-08-01T17:30:57.695815
8,TaiwanStockPER,6838,-1,unknown,2026-08-01T17:31:02.611328
8,TaiwanStockInstitutionalInvestorsBuySell,6854,-1,unknown,2026-08-01T17:31:07.518390
8,TaiwanStockPrice,6854,-1,unknown,2026-08-01T17:31:12.428605
8,TaiwanStockPER,6854,-1,unknown,2026-08-01T17:31:17.339345
8,TaiwanStockInstitutionalInvestorsBuySell,6861,-1,unknown,2026-08-01T17:31:22.247573
8,TaiwanStockPrice,6861,-1,unknown,2026-08-01T17:31:27.156361
8,TaiwanStockPER,6861,-1,unknown,2026-08-01T17:31:32.067464
8,TaiwanStockInstitutionalInvestorsBuySell,6862,-1,unknown,2026-08-01T17:31:36.976623
8,TaiwanStockPrice,6862,-1,unknown,2026-08-01T17:31:41.886451
8,TaiwanStockPER,6862,-1,unknown,2026-08-01T17:31:46.795892
8,TaiwanStockInstitutionalInvestorsBuySell,6863,-1,unknown,2026-08-01T17:31:51.707413
8,TaiwanStockPrice,6863,-1,unknown,2026-08-01T17:31:56.622186
8,TaiwanStockPER,6863,-1,unknown,2026-08-01T17:32:01.535223
