stock_id,ok,n_rows,err
2330,True,2460,
2454,True,2460,
2308,True,2460,
2317,True,2455,
3711,True,2460,
2303,True,2460,
2327,True,2425,
2383,True,2460,
3037,True,2460,
2891,True,2460,
2881,True,2460,
2882,True,2455,
2382,True,2460,
2345,True,2460,
2412,True,2460,
3017,True,2455,
2886,True,2460,
6669,True,2460,
3231,True,2455,
2357,True,2460,
1216,True,2460,
2884,True,2455,
2885,True,2460,
2301,True,2460,
2356,True,2460,
2002,True,2460,
1301,True,2460,
1303,True,2460,
1326,True,2460,
1101,True,2450,
3045,True,2460,
4904,True,2460,
3008,True,2460,
2379,True,2460,
3034,True,2460,
2610,True,2460,
2618,True,2460,
2603,True,2460,
2609,True,2460,
2615,True,2460,
2912,True,2455,
2449,True,2460,
2344,True,2460,
2408,True,2460,
2337,True,2460,
2368,True,2455,
2059,True,2460,
2360,True,2460,
2395,True,2460,
3661,True,2460,
