date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2024-07-01,2618,92597021,3560053747,38.2,38.75,37.85,38.75,0.6,27435
2024-07-02,2618,107838331,4198466129,38.95,39.35,38.5,38.5,-0.25,32524
2024-07-03,2618,71070757,2737878824,38.85,38.85,38.3,38.55,0.05,20183
2024-07-04,2618,98136961,3744727909,38.6,38.65,37.9,37.95,-0.6,31966
2024-07-05,2618,119546256,4489289167,37.95,38.05,37.35,37.35,-0.6,35898
2024-07-08,2618,130290741,4646377927,35.55,36.2,35.35,35.4,0.0,49315
2024-07-09,2618,72978798,2566613056,35.6,35.8,34.8,34.8,-0.6,32294
2024-07-10,2618,65453126,2302623772,34.9,35.55,34.8,35.55,0.75,18157
2024-07-11,2618,67118642,2367035385,35.8,35.9,35.0,35.1,-0.45,25572
2024-07-12,2618,36741987,1286611891,35.0,35.3,34.9,34.9,-0.2,13394
2024-07-15,2618,61461309,2116665926,35.05,35.1,34.15,34.25,-0.65,26681
2024-07-16,2618,36053954,1243248157,34.45,34.75,34.3,34.35,0.1,13684
2024-07-17,2618,45605820,1577871079,34.85,35.05,34.35,34.35,0.0,17999
2024-07-18,2618,51734274,1762663507,34.5,34.5,33.8,34.3,-0.05,16823
2024-07-19,2618,63043254,2124675076,34.4,34.4,33.5,33.5,-0.8,25740
2024-07-22,2618,52837554,1740049504,33.45,33.5,32.5,32.9,-0.6,20200
2024-07-23,2618,37468940,1270689769,33.45,34.2,33.3,34.15,1.25,15551
2024-07-26,2618,39377402,1339913487,33.65,34.3,33.4,34.1,-0.05,13960
2024-07-29,2618,30100160,1032268409,34.3,34.6,34.0,34.15,0.05,11217
2024-07-30,2618,26479815,897701505,34.0,34.25,33.6,34.2,0.05,12022
2024-07-31,2618,30783488,1056191921,34.05,34.7,33.85,34.45,0.25,11018
2024-08-01,2618,19817686,682614212,34.55,34.55,34.25,34.55,0.1,9060
2024-08-02,2618,34462633,1169425689,34.0,34.15,33.8,33.85,-0.7,10609
2024-08-05,2618,89576750,2817510584,33.0,33.1,30.55,30.7,-3.15,33853
2024-08-06,2618,53080308,1660410305,31.7,31.8,30.4,31.4,0.7,16178
2024-08-07,2618,24393144,787985360,31.5,32.75,31.5,32.6,1.2,10032
2024-08-08,2618,24498570,787911459,32.15,32.4,31.95,32.1,-0.5,8764
2024-08-09,2618,42659101,1406605174,32.9,33.4,32.4,33.25,1.15,13459
2024-08-12,2618,52991406,1808521208,34.35,34.5,33.5,34.45,1.2,18759
2024-08-13,2618,43537404,1503415502,34.45,34.95,34.15,34.45,0.0,14587
2024-08-14,2618,36159916,1245261688,34.6,34.7,34.1,34.7,0.25,13720
2024-08-15,2618,22814824,791033776,34.85,34.85,34.5,34.5,-0.2,9986
2024-08-16,2618,24534734,847548710,34.8,34.85,34.4,34.5,0.0,10666
2024-08-19,2618,20198953,695177737,34.55,34.6,34.15,34.5,0.0,7862
2024-08-20,2618,42712279,1489613420,34.7,35.0,34.65,34.95,0.45,13248
2024-08-21,2618,36397861,1271665691,35.05,35.15,34.65,34.9,-0.05,13039
2024-08-22,2618,13105253,454991618,35.0,35.0,34.6,34.7,-0.2,5363
2024-08-23,2618,12521624,434227958,34.6,34.9,34.45,34.75,0.05,4315
2024-08-26,2618,18712301,650292541,34.9,35.0,34.55,34.7,-0.05,6430
2024-08-27,2618,27420540,951324282,34.7,35.0,34.3,35.0,0.3,9206
2024-08-28,2618,12123673,422983036,35.0,35.0,34.8,34.9,-0.1,5378
2024-08-29,2618,69741457,2466485714,35.05,35.6,34.8,35.6,0.7,20966
2024-08-30,2618,35344395,1254451795,35.7,35.9,35.3,35.35,-0.25,13566
2024-09-02,2618,28690800,1019873409,35.5,35.85,35.35,35.4,0.05,8409
2024-09-03,2618,54866512,1961468055,35.45,36.0,35.3,35.9,0.5,14465
2024-09-04,2618,51289204,1805107710,35.1,35.55,34.35,35.15,-0.75,17545
2024-09-05,2618,52411838,1865202635,35.25,36.1,35.1,35.15,0.0,14850
2024-09-06,2618,49074230,1728277869,35.25,35.6,35.0,35.25,0.1,12460
2024-09-09,2618,42523659,1478249046,34.7,34.95,34.55,34.9,-0.35,11394
2024-09-10,2618,28722016,999022911,35.0,35.15,34.4,34.7,-0.2,8951
2024-09-11,2618,47514586,1676036919,34.95,35.5,34.8,35.45,0.75,11998
2024-09-12,2618,43044962,1529562997,35.55,35.9,35.3,35.55,0.1,13463
2024-09-13,2618,42251105,1512026189,35.55,35.9,35.5,35.9,0.35,10843
2024-09-16,2618,29281721,1048731524,35.9,35.95,35.55,35.9,0.0,10349
2024-09-18,2618,64030084,2320792812,35.9,36.5,35.75,36.2,0.3,18659
2024-09-19,2618,95555426,3514150520,36.2,37.0,36.15,37.0,0.8,28837
2024-09-20,2618,70193350,2613288180,37.15,37.5,36.95,37.2,0.2,19001
2024-09-23,2618,43062714,1604450027,37.25,37.5,36.9,37.35,0.15,12678
2024-09-24,2618,78346731,2963862716,37.4,38.0,37.4,37.85,0.5,22144
2024-09-25,2618,40646467,1534467791,38.1,38.1,37.55,37.7,-0.15,16915
2024-09-26,2618,43838372,1641522566,37.7,37.9,37.1,37.3,-0.4,17435
2024-09-27,2618,34831846,1304991910,37.45,37.7,37.15,37.5,0.2,12307
2024-09-30,2618,41105689,1548259352,37.5,38.0,37.4,37.5,0.0,12831
2024-10-01,2618,28107650,1054428881,37.5,37.8,37.1,37.8,0.3,12200
2024-10-04,2618,90960823,3251655813,35.2,36.3,35.05,35.7,-2.1,42772
2024-10-07,2618,25682430,925075178,35.85,36.15,35.85,36.15,0.45,7336
2024-10-08,2618,22917273,830450948,35.9,36.4,35.75,36.4,0.25,7351
2024-10-09,2618,18718064,674099442,36.4,36.45,35.8,35.95,-0.45,7686
2024-10-11,2618,16209263,588233124,35.95,36.4,35.95,36.4,0.45,5322
2024-10-14,2618,17973717,646161702,36.2,36.2,35.8,35.95,-0.45,6842
2024-10-15,2618,24489678,892829154,36.1,36.7,36.05,36.3,0.35,7588
2024-10-16,2618,60882690,2246406701,36.55,37.15,36.35,37.05,0.75,21936
2024-10-17,2618,33074288,1228574708,37.0,37.55,36.9,37.0,-0.05,11726
2024-10-18,2618,44684607,1673028496,37.25,37.65,37.2,37.3,0.3,15390
2024-10-21,2618,22912195,857516650,37.5,37.8,37.15,37.5,0.2,8181
2024-10-22,2618,30310195,1138922168,37.55,37.8,37.3,37.6,0.1,13958
2024-10-23,2618,19676487,731526019,37.6,37.6,37.0,37.05,-0.55,11832
2024-10-24,2618,39335416,1471838856,36.95,37.7,36.75,37.55,0.5,13165
2024-10-25,2618,38523507,1451510130,37.55,37.8,37.45,37.7,0.15,10740
2024-10-28,2618,36441386,1383745945,37.9,38.25,37.75,37.95,0.25,13403
2024-10-29,2618,27099207,1019177585,37.95,37.95,37.45,37.5,-0.45,9806
2024-10-30,2618,20631879,773059129,37.5,37.75,37.3,37.35,-0.15,7920
2024-11-01,2618,35904877,1334425246,36.35,37.55,36.3,37.5,0.15,12617
2024-11-04,2618,20582449,777069600,37.5,37.9,37.5,37.8,0.3,7609
2024-11-05,2618,19840833,750072835,37.7,37.9,37.45,37.9,0.1,7126
2024-11-06,2618,14189277,535583080,37.95,38.0,37.6,37.8,-0.1,6662
2024-11-07,2618,64604027,2467840800,37.9,38.4,37.85,38.4,0.6,20236
2024-11-08,2618,31236078,1201395204,38.4,38.75,38.1,38.4,0.0,12761
2024-11-11,2618,77639704,3034410653,38.65,39.35,38.6,39.25,0.85,25995
2024-11-12,2618,54407473,2153188777,39.2,39.85,39.0,39.5,0.25,22147
2024-11-13,2618,44153659,1751008355,39.6,39.85,39.3,39.85,0.35,16276
2024-11-14,2618,97044089,3930501569,39.95,40.9,39.75,40.5,0.65,35636
2024-11-15,2618,99962508,4133682775,40.65,41.65,40.55,41.65,1.15,33561
2024-11-18,2618,86026946,3576756035,42.0,42.2,40.85,41.15,-0.5,36869
2024-11-19,2618,47842874,1979596012,41.15,41.85,41.05,41.55,0.4,16984
2024-11-20,2618,64536218,2707640625,41.85,42.3,41.6,41.7,0.15,28759
2024-11-21,2618,50719689,2083556840,41.7,41.9,40.75,41.15,-0.55,22907
2024-11-22,2618,29644385,1231493957,41.6,41.75,41.25,41.5,0.35,10761
2024-11-25,2618,115527757,4654035411,41.7,41.7,39.95,40.15,-1.35,32119
2024-11-26,2618,53543512,2196365540,40.35,41.3,40.35,41.2,1.05,18078
2024-11-27,2618,58925785,2469701724,41.7,42.2,41.5,41.7,0.5,19888
2024-11-28,2618,31595247,1320191163,41.75,42.0,41.45,41.85,0.15,12642
2024-11-29,2618,32600693,1349970675,41.35,41.75,41.0,41.55,-0.3,15932
2024-12-02,2618,87149668,3735797607,41.8,43.5,41.75,43.5,1.95,31171
2024-12-03,2618,94808772,4211802368,43.6,45.3,43.3,44.6,1.1,33577
2024-12-04,2618,64585330,2900822202,45.0,45.45,44.6,45.0,0.4,22791
2024-12-05,2618,41589930,1873976859,44.95,45.4,44.75,44.95,-0.05,15522
2024-12-06,2618,34707513,1556410238,45.3,45.3,44.55,45.0,0.05,12648
2024-12-09,2618,118217449,5581086860,45.4,48.25,45.2,47.5,2.5,43805
2024-12-10,2618,72287794,3355580900,47.3,47.6,45.65,46.2,-1.3,31078
2024-12-11,2618,55146528,2500859951,45.55,46.35,44.7,45.05,-1.15,20520
2024-12-12,2618,56820807,2562337585,45.7,45.9,44.7,45.1,0.05,21034
2024-12-13,2618,65474088,2904223884,44.95,45.25,43.7,44.35,-0.75,26705
2024-12-16,2618,58532449,2561589352,44.5,44.5,43.4,43.75,-0.6,23488
2024-12-17,2618,75586510,3385670136,43.7,45.85,43.7,44.45,0.7,27697
2024-12-18,2618,85216221,3861719133,44.8,46.3,44.75,45.3,0.85,32735
2024-12-19,2618,58438967,2600146563,44.5,45.1,44.2,44.55,-0.75,18570
2024-12-20,2618,89958424,4014193299,44.6,45.0,44.0,44.6,0.05,20646
2024-12-23,2618,78461473,3579506433,44.8,45.9,44.45,45.9,1.3,20148
2024-12-24,2618,78688317,3621872679,45.95,46.3,45.3,46.05,0.15,19951
2024-12-25,2618,69800428,3188479002,46.05,46.05,45.15,45.75,-0.3,16951
2024-12-26,2618,68232288,3146955041,45.85,46.4,45.35,46.25,0.5,16685
2024-12-27,2618,25400164,1162318312,46.0,46.05,45.55,45.7,-0.55,10310
2024-12-30,2618,17955691,819231733,45.85,46.0,45.4,45.45,-0.25,7127
2024-12-31,2618,35964552,1606168195,45.35,45.4,44.25,44.35,-1.1,13415
2025-01-02,2618,65729130,3023748107,44.35,46.8,44.35,46.35,2.0,25337
2025-01-03,2618,62728486,2939292784,46.25,47.3,46.05,47.0,0.65,26251
2025-01-06,2618,49232014,2328706635,47.15,47.6,46.6,47.3,0.3,18314
2025-01-07,2618,37012825,1743381923,47.5,47.5,46.75,46.9,-0.4,15403
2025-01-08,2618,36522379,1730040711,47.1,47.65,46.85,47.2,0.3,16253
2025-01-09,2618,35928775,1660940977,47.15,47.2,45.75,45.9,-1.3,25054
2025-01-10,2618,21690272,1002300363,45.95,46.7,45.35,46.6,0.7,9403
2025-01-13,2618,32027235,1477543666,46.5,47.05,45.6,45.95,-0.65,15903
2025-01-14,2618,23812586,1105482220,45.9,46.7,45.9,46.6,0.65,9831
2025-01-15,2618,22337452,1040126110,46.6,47.05,46.1,46.1,-0.5,9559
2025-01-16,2618,26947852,1247215867,46.6,46.8,45.8,46.4,0.3,10768
2025-01-17,2618,65028660,3097085066,46.85,48.3,46.8,47.65,1.25,26034
2025-01-20,2618,29852693,1414780167,48.05,48.05,46.9,47.25,-0.4,16072
2025-01-21,2618,14465422,680214554,47.05,47.4,46.8,46.9,-0.35,8002
2025-01-22,2618,32066676,1529380214,47.35,48.0,47.3,47.7,0.8,12741
2025-02-03,2618,41654955,1936414247,47.0,47.9,45.85,46.3,-1.4,20923
2025-02-04,2618,27744490,1269433143,46.7,46.75,45.25,45.3,-1.0,13898
2025-02-05,2618,18727716,864564032,45.75,46.6,45.75,46.15,0.85,9041
2025-02-06,2618,16056527,739955489,46.15,46.3,45.9,46.0,-0.15,6711
2025-02-07,2618,62191784,2782150000,45.9,46.1,44.3,44.55,-1.45,27398
2025-02-10,2618,46871480,2067359987,44.55,44.85,43.7,44.35,-0.2,15523
2025-02-11,2618,35367630,1557809400,44.65,44.85,43.75,43.8,-0.55,15060
2025-02-12,2618,42522696,1859105890,44.1,44.35,43.3,43.45,-0.35,16760
