vol_definition,split,regime,n_days,mean_ic,t_nw,ci95_low,ci95_high,pos_ratio
market_rvol_20d,median,Low,238,0.04710742831541345,3.1846920668448093,0.01811543864726145,0.07609941798356545,0.6008403361344538
market_rvol_20d,median,High,237,0.005172322403711188,0.3745422456582263,-0.0218947228463051,0.03223936765372747,0.5021097046413502
market_rvol_20d,tercile_extremes,Low,158,0.04194417593594791,2.4027116469905065,0.007728424354841633,0.0761599275170542,0.5886075949367089
market_rvol_20d,tercile_extremes,High,158,0.00681981005000458,0.41981517342577773,-0.025019981706288857,0.038659601806298016,0.4936708860759494
market_rvol_40d,median,Low,233,0.03177868404618059,2.0508081995011405,0.001407135529032523,0.062150232563328654,0.5793991416309013
market_rvol_40d,median,High,232,0.01259913799024542,0.972238580918579,-0.012800296824972093,0.037998572805462934,0.5043103448275862
market_rvol_40d,tercile_extremes,Low,155,0.02699063987980416,1.3754124552715536,-0.011471752954912134,0.06545303271452045,0.5548387096774193
market_rvol_40d,tercile_extremes,High,155,0.010955929699594538,0.6651182603261117,-0.02132949004016218,0.043241349439351255,0.5096774193548387
xsec_dispersion_raw,median,Low,241,0.033300037399640506,2.750108676826339,0.00956713045917167,0.057032944340109346,0.5601659751037344
xsec_dispersion_raw,median,High,240,0.02176198499798604,1.3400017458530813,-0.010068936661670663,0.05359290665764274,0.55
xsec_dispersion_raw,tercile_extremes,Low,160,0.03765150456246463,2.666179539948182,0.009972592532457476,0.0653304165924718,0.575
xsec_dispersion_raw,tercile_extremes,High,160,0.033749435639646566,2.0863856496963518,0.0020444179870690374,0.0654544532922241,0.58125
xsec_dispersion_20d_smooth,median,Low,238,0.049212225058925765,3.8606857912972137,0.02422807293421097,0.07419637718364056,0.6008403361344538
xsec_dispersion_20d_smooth,median,High,237,0.003058644661281107,0.1910683250610281,-0.028317270390029237,0.03443455971259145,0.5021097046413502
xsec_dispersion_20d_smooth,tercile_extremes,Low,158,0.04243501618512532,2.685383249167028,0.011462665497883669,0.07340736687236696,0.569620253164557
xsec_dispersion_20d_smooth,tercile_extremes,High,158,0.010768261869713544,0.5642264123331459,-0.02663834087574015,0.04817486461516724,0.5126582278481012
